user_id,username,email,building,roomno,userpassword
2021001,eshavarya,eshavarya21001@iiitd.ac.in,H1 boys hostel,904,T?KdC{=)cAnP
2021002,isharar,isharar21002@iiitd.ac.in,H1 boys hostel,101,1CD/I#J-yKq4
2021003,soyam,soyam21003@iiitd.ac.in,H1 boys hostel,820,"eiAu+SK#m,w3"
2021004,lav,lav21004@iiitd.ac.in,H1 boys hostel,605,8dXT|5&bV?Q4
2021005,anupama,anupama21005@iiitd.ac.in,Old Boys Hostel,813,_(1pa|d6(9*-
2021006,bhasker,bhasker21006@iiitd.ac.in,,,<qQz1.VaHU+q
2021007,narsingh,narsingh21007@iiitd.ac.in,Girls Hostel,515,7<o+(tRuy6.3
2021008,tolaram,tolaram21008@iiitd.ac.in,Girls Hostel,605,"/<|g[)<^,HHY"
2021009,prati,prati21009@iiitd.ac.in,,,R/FOD$IPoa=W
2021010,kuso,kuso21010@iiitd.ac.in,,,uW3#2rA(i7O2
2021011,natha,natha21011@iiitd.ac.in,H1 boys hostel,19,KI+gu8X3SwT-
2021012,sabenoor,sabenoor21012@iiitd.ac.in,Old Boys Hostel,402,lOd5iSFR*oo[
2021013,radheyshyam,radheyshyam21013@iiitd.ac.in,H2 boys hostel,511,f/.[F& bFo%(
2021014,tushal,tushal21014@iiitd.ac.in,H1 boys hostel,814,]r)1<LKf^_-N
2021015,anzum,anzum21015@iiitd.ac.in,,,[Vb.hk&*.6-^
2021016,musmi,musmi21016@iiitd.ac.in,,,/(dSn}J_0UCB
2021017,rajendra,rajendra21017@iiitd.ac.in,,,xzclxT[5mLoB
2021018,majrula,majrula21018@iiitd.ac.in,Girls Hostel,615,c%508gd?1F4p
2021019,vasida,vasida21019@iiitd.ac.in,,,E<dtB(p) O[3
2021020,deeraj,deeraj21020@iiitd.ac.in,,,UNXon/@1Mk=k
2021021,keshanti,keshanti21021@iiitd.ac.in,,,+M@tbl[_lg<b
2021022,dali,dali21022@iiitd.ac.in,,,m=5sc^l@bRg[
2021023,moti,moti21023@iiitd.ac.in,Old Boys Hostel,116,"h+@Tly,rmPn1"
2021024,chandermani,chandermani21024@iiitd.ac.in,,,!ZGZJ{fQuCAK
2021025,bhajju,bhajju21025@iiitd.ac.in,H1 boys hostel,10,s[MM@HA>V/]R
2021026,sumita,sumita21026@iiitd.ac.in,H1 boys hostel,19,3[+7AA0yk%pQ
2021027,rijwan,rijwan21027@iiitd.ac.in,Girls Hostel,711,0RJCq.x)_mk5
2021028,chandabai,chandabai21028@iiitd.ac.in,,,l T7?On6:At 
2021029,aysha,aysha21029@iiitd.ac.in,H2 boys hostel,719,]X7xrsNgNy(2
2021030,mithu,mithu21030@iiitd.ac.in,H2 boys hostel,501,"f,VSkWKxHr3."
2021031,similata,similata21031@iiitd.ac.in,Girls Hostel,502,lm||zH+op$}g
2021032,gurmit,gurmit21032@iiitd.ac.in,,,%b6|OPOdP*[U
2021033,moti,moti21033@iiitd.ac.in,,,n9a<@tGFxTX|
2021034,jugender,jugender21034@iiitd.ac.in,Old Boys Hostel,403,aI+ipsNWm*(^
2021035,guddibai,guddibai21035@iiitd.ac.in,,,%8|196jr:1VY
2021036,jhunnu,jhunnu21036@iiitd.ac.in,,,S++=>N9.C=7b
2021037,dheeraj,dheeraj21037@iiitd.ac.in,H1 boys hostel,212,%Vesle4tviHN
2021038,jagmal,jagmal21038@iiitd.ac.in,,,",H8>0^=wi(#^"
2021039,mukti,mukti21039@iiitd.ac.in,,,Ot/M(?V=S0w>
2021040,ratni,ratni21040@iiitd.ac.in,Old Boys Hostel,408,*?3?%*v8K uG
2021041,rambir,rambir21041@iiitd.ac.in,Girls Hostel,617,@5&PIbyMn^- 
2021042,lovly,lovly21042@iiitd.ac.in,,,"%,w#,ougd-#$"
2021043,lakhwinder,lakhwinder21043@iiitd.ac.in,Girls Hostel,404,Ey^G*]E^mQm<
2021044,sulochna,sulochna21044@iiitd.ac.in,,,b@WbF-wp^he!
2021045,subhakar,subhakar21045@iiitd.ac.in,H2 boys hostel,308,07PVF@suROVE
2021046,prity,prity21046@iiitd.ac.in,,,{!*hie95qj<I
2021047,gayatri,gayatri21047@iiitd.ac.in,,,bp7?Stir[8/{
2021048,shaloo,shaloo21048@iiitd.ac.in,,,C/fcCB9X>A !
2021049,jaidev,jaidev21049@iiitd.ac.in,,,xb#lbTu2oI:f
2021050,joria,joria21050@iiitd.ac.in,,,"AfC{f),?=emm"
2021051,adersen,adersen21051@iiitd.ac.in,H2 boys hostel,803,",[_T(S^ pT:s"
2021052,bablu,bablu21052@iiitd.ac.in,H1 boys hostel,18,%sSwRo)2/Vg<
2021053,najo,najo21053@iiitd.ac.in,H1 boys hostel,908,}e5O*3I!b-Wi
2021054,lovely,lovely21054@iiitd.ac.in,Girls Hostel,514,G}]&BuQTn/%v
2021055,aaradhana,aaradhana21055@iiitd.ac.in,,,m^NDJiyky$eD
2021056,aasu,aasu21056@iiitd.ac.in,Old Boys Hostel,408,"T7%J,m{+_X)m"
2021057,sabhya,sabhya21057@iiitd.ac.in,,,Of=bsm)x5MP{
2021058,mohmmd,mohmmd21058@iiitd.ac.in,,,Na4#KBjsETXe
2021059,libin,libin21059@iiitd.ac.in,Girls Hostel,714,"O?HU8d|i,dh<"
2021060,sabid,sabid21060@iiitd.ac.in,,,y:)rb2eEM+1g
2021061,narender,narender21061@iiitd.ac.in,,,E)!Pt/@@.]^e
2021062,ayan,ayan21062@iiitd.ac.in,,,"cbr,|eyZ)b9O"
2021063,ankita,ankita21063@iiitd.ac.in,H2 boys hostel,118,yJyNaPU< ZD!
2021064,shilpa,shilpa21064@iiitd.ac.in,Girls Hostel,401,sczI]#XzfI6R
2021065,kalua,kalua21065@iiitd.ac.in,Girls Hostel,206,"VO,o-v|GC_Fp"
2021066,bhimsen,bhimsen21066@iiitd.ac.in,H1 boys hostel,922,W/}b@LYCmYR4
2021067,amlesh,amlesh21067@iiitd.ac.in,,,6?y4c|QPNMeJ
2021068,gheesa,gheesa21068@iiitd.ac.in,,,^Tt([rrhbGS2
2021069,trilock,trilock21069@iiitd.ac.in,Girls Hostel,617,*(GZ)k4hBKML
2021070,hajari,hajari21070@iiitd.ac.in,,,[t6avCmhQB4J
2021071,ved,ved21071@iiitd.ac.in,H1 boys hostel,616,x7S+wVs(Hf1.
2021072,aaradhana,aaradhana21072@iiitd.ac.in,Girls Hostel,112,p<Sj.kX4L)Mj
2021073,ishmita,ishmita21073@iiitd.ac.in,Girls Hostel,814,mZ1DQlgH7Dgg
2021074,banarsi,banarsi21074@iiitd.ac.in,,,m&-2F4kM5NUL
2021075,aansu,aansu21075@iiitd.ac.in,,,.s/>1fS$[#xj
2021076,noorjhan,noorjhan21076@iiitd.ac.in,,,g4z=zXK7y81j
2021077,alima,alima21077@iiitd.ac.in,,,[)|craK<v?CO
2021078,manoj,manoj21078@iiitd.ac.in,,,76<51&c)k%Hk
2021079,prashansa,prashansa21079@iiitd.ac.in,,,nLss).ZBcy>_
2021080,safe,safe21080@iiitd.ac.in,H2 boys hostel,709,}{VgBnC:5&<A
2021081,khashbu,khashbu21081@iiitd.ac.in,Girls Hostel,305,"*.Lt,Im2l |<"
2021082,yogeshwari,yogeshwari21082@iiitd.ac.in,,,i-hjOID$Pr+Z
2021083,suminder,suminder21083@iiitd.ac.in,,,]Z!U4!GJ%dut
2021084,hazira,hazira21084@iiitd.ac.in,H2 boys hostel,219,"FEk&rSKoQ=,U"
2021085,birtha,birtha21085@iiitd.ac.in,,,"_5_|7?woV,Gq"
2021086,yogender,yogender21086@iiitd.ac.in,H2 boys hostel,801,&rRU)vXXBstf
2021087,isharar,isharar21087@iiitd.ac.in,Girls Hostel,114,3QmP8u{4^y5Z
2021088,anish,anish21088@iiitd.ac.in,,,l1r9)WphebCv
2021089,pushpendr,pushpendr21089@iiitd.ac.in,,,o[+7J%Qx7_rz
2021090,chhavi,chhavi21090@iiitd.ac.in,H1 boys hostel,1015,WdZQcFuOJE{N
2021091,sambhu,sambhu21091@iiitd.ac.in,Old Boys Hostel,115,"m&t@,54#5Qt-"
2021092,chabi,chabi21092@iiitd.ac.in,,,f%<hQTWE@YNf
2021093,aphsana,aphsana21093@iiitd.ac.in,,,"r4{63znA%,tT"
2021094,pitar,pitar21094@iiitd.ac.in,Old Boys Hostel,717,fwO?BAIvYGIm
2021095,abhilasha,abhilasha21095@iiitd.ac.in,,,2h&RN//(--n-
2021096,veerendra,veerendra21096@iiitd.ac.in,,,yZrdl/GSnd(a
2021097,yogender,yogender21097@iiitd.ac.in,H1 boys hostel,111,LCuUW0kCDM[0
2021098,tasbiha,tasbiha21098@iiitd.ac.in,,,Baa#@4CieqRo
2021099,nilofar,nilofar21099@iiitd.ac.in,,,YHo]B)b$kZ:Z
2021100,sabrina,sabrina21100@iiitd.ac.in,,,@vhSxMr&Ih$%
2021101,shanah,shanah21101@iiitd.ac.in,,,d^yK2N)PHDEx
2021102,vakesh,vakesh21102@iiitd.ac.in,H2 boys hostel,612,5QQ?|ho^^MHd
2021103,promila,promila21103@iiitd.ac.in,,,[!W@l_^+YX/@
2021104,khursheed,khursheed21104@iiitd.ac.in,,,m*)gUfZDXd4*
2021105,isthar,isthar21105@iiitd.ac.in,H2 boys hostel,409,MY=pG@&pfK3]
2021106,yogeshwari,yogeshwari21106@iiitd.ac.in,Girls Hostel,8,MEPyuy8^nc$<
2021107,kuntesh,kuntesh21107@iiitd.ac.in,H2 boys hostel,515,"(,Jt^bS),9rs"
2021108,kaleram,kaleram21108@iiitd.ac.in,,,"k*p^,&R[AMIg"
2021109,uttam,uttam21109@iiitd.ac.in,H1 boys hostel,1010,Qz5x|)mvV?=u
2021110,uttam,uttam21110@iiitd.ac.in,,,",)gllgIJO*S|"
2021111,jaimati,jaimati21111@iiitd.ac.in,,,)2W95jQ<bMMC
2021112,sudarshan,sudarshan21112@iiitd.ac.in,Old Boys Hostel,514,aNPn2QL5rdP_
2021113,sabana,sabana21113@iiitd.ac.in,Girls Hostel,305,%*7tgLUw0}mu
2021114,sandna,sandna21114@iiitd.ac.in,,,JJ#b:F?:WX!T
2021115,aaradhana,aaradhana21115@iiitd.ac.in,,,"f(>y+/KMd2B,"
